City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
362,chokurdakh,70.6333,147.9167,-18.0,97,100,3.36,RU,1675219960
363,salalah,17.0151,54.0924,21.05,64,40,1.54,OM,1675220144
364,saint-georges,12.0564,-61.7485,22.82,88,20,1.03,GD,1675219664
365,cayenne,4.9333,-52.3333,24.02,94,75,0.0,GF,1675220145
366,merauke,-8.4667,140.3333,29.23,74,100,4.1,ID,1675220026
367,quebrangulo,-9.3189,-36.4711,21.06,94,100,1.7,BR,1675220145
368,san cristobal,7.7669,-72.225,20.1,91,88,1.08,VE,1675219783
369,gravdal,68.1214,13.5031,1.6,69,99,3.55,NO,1675220145
370,gravelbourg,49.8834,-106.5512,-15.85,95,48,1.65,CA,1675220146
371,barra do garcas,-15.89,-52.2567,22.54,91,100,0.54,BR,1675220146
372,tommot,58.9564,126.2925,-23.52,91,100,4.28,RU,1675219782
373,aykhal,66.0,111.5,-33.07,100,63,2.54,RU,1675219879
374,honiara,-9.4333,159.95,28.68,75,70,3.81,SB,1675220147
375,clinton,42.587,-82.9199,-7.82,68,40,0.0,US,1675220106
376,vallenar,-28.5708,-70.7581,20.62,61,4,1.12,CL,1675220004
377,broome,42.2506,-75.833,-6.41,81,0,2.57,US,1675220147
378,xunchang,28.4543,104.715,14.84,42,0,1.0,CN,1675220147
379,trat,12.5,102.5,30.49,40,98,0.83,TH,1675220148
380,soyo,-6.1349,12.3689,26.27,87,100,3.43,AO,1675220148
381,comodoro rivadavia,-45.8667,-67.5,18.92,39,0,2.57,AR,1675219859
382,bonthe,7.5264,-12.505,24.24,87,0,0.77,SL,1675220148
383,cartagena del chaira,1.3349,-74.8429,27.3,46,94,1.86,CO,1675220149
384,sisimiut,66.9395,-53.6735,-21.29,97,66,3.93,GL,1675220149
385,ndele,8.4109,20.6473,22.83,24,2,1.12,CF,1675220149
386,rabo de peixe,37.8,-25.5833,11.73,82,40,3.09,PT,1675220150
387,road town,18.4167,-64.6167,24.05,66,1,8.49,VG,1675220150
388,port lincoln,-34.7333,135.8667,19.17,61,95,6.89,AU,1675219948
389,keetmanshoop,-26.5833,18.1333,20.3,34,2,4.13,NA,1675220151
390,ancud,-41.8697,-73.8203,11.01,83,1,1.45,CL,1675219962
391,nouadhibou,20.931,-17.0347,15.99,63,100,9.26,MR,1675219592
392,springbok,-29.6643,17.8865,13.16,77,0,1.36,ZA,1675220151
393,kyzyl-mazhalyk,51.1333,90.6,-23.02,94,93,0.31,RU,1675220151
394,antofagasta,-23.65,-70.4,21.6,81,98,0.79,CL,1675219939
395,ahipara,-35.1667,173.1667,22.96,77,100,3.98,NZ,1675220152
396,praia da vitoria,38.7333,-27.0667,13.14,82,40,4.09,PT,1675219829
397,sakakah,29.9697,40.2064,7.76,70,0,2.8,SA,1675220143
398,isangel,-19.55,169.2667,28.68,73,100,1.23,VU,1675219559
399,shache,38.4167,77.2406,-6.33,75,95,1.3,CN,1675220152
400,ixtapa,20.7,-105.2,19.42,70,96,0.62,MX,1675220153
401,calama,-22.4667,-68.9333,15.27,67,0,7.2,CL,1675219853
402,tiksi,71.6872,128.8694,-17.95,98,100,3.82,RU,1675220153
403,maningrida,-12.0667,134.2667,31.77,63,83,4.9,AU,1675220154
404,pingdu,36.7844,119.9464,1.08,32,96,9.23,CN,1675220154
405,jawhar,2.7809,45.5005,21.17,88,4,3.71,SO,1675220154
406,jishui,33.7333,115.4,7.6,24,70,9.75,CN,1675220155
407,ucluelet,48.9329,-125.5528,5.05,92,100,3.26,CA,1675220155
408,preobrazheniye,42.9019,133.9064,-3.72,86,100,2.33,RU,1675220155
409,chapais,49.7834,-74.8492,-23.12,94,100,4.29,CA,1675220156
410,mahajanga,-15.7167,46.3167,23.01,100,40,4.12,MG,1675219875
411,mvomero,-6.25,38.6667,23.16,91,63,1.24,TZ,1675220156
412,port hawkesbury,45.6169,-61.3485,-4.23,69,20,7.72,CA,1675220156
413,sterling,39.0062,-77.4286,2.31,91,100,2.68,US,1675220071
414,sao felix do xingu,-6.6447,-51.995,21.24,98,17,0.3,BR,1675220052
415,trairi,-3.2778,-39.2689,24.51,93,94,3.6,BR,1675219920
416,porto novo,6.4965,2.6036,24.34,89,69,1.57,BJ,1675220157
417,casa nova,-9.4167,-41.1333,24.86,68,46,7.22,BR,1675219940
418,lithakia,37.7167,20.8333,2.65,48,0,3.92,GR,1675220157
419,grand-santi,4.25,-54.3833,21.27,99,76,0.93,GF,1675220158
420,gilgit,35.9221,74.3087,-4.04,60,57,1.77,PK,1675220116
421,ilulissat,69.2167,-51.1,-18.99,65,61,1.54,GL,1675220158
422,muros,42.7762,-9.0603,6.58,85,10,5.47,ES,1675219927
423,hashtgerd,35.9642,50.6858,1.91,76,51,2.79,IR,1675220159
424,wertheim,49.7575,9.5094,5.83,92,100,6.24,DE,1675220159
425,tautira,-17.7333,-149.15,27.25,76,17,6.62,PF,1675219884
426,sinnamary,5.3833,-52.95,23.58,90,91,1.37,GF,1675220159
427,flagstaff,35.1981,-111.6513,-2.19,75,0,4.12,US,1675220021
428,kahului,20.8947,-156.47,28.01,65,20,1.54,US,1675219514
